Rank,Name,ID,Played,Wins,Draws,Losses,Points,GF,GA,GD,Form
1,New York City FC,1604,30,16,9,5,57,56,37,19,WDWWW
2,Philadelphia Union,1599,30,15,7,8,52,55,43,12,DWWLW
3,Atlanta United FC,1608,30,16,3,11,51,50,36,14,WLLWW
4,Toronto FC,1601,31,12,9,10,45,53,49,4,WDWDW
5,DC United,1615,31,12,9,10,45,40,38,2,WWLLL
6,New York Red Bulls,1602,31,13,5,13,44,51,48,3,WLLLW
7,New England Revolution,1609,30,10,10,10,40,45,52,-7,DLDWD
8,Montreal Impact,1614,31,11,4,16,37,42,57,-15,LLWLD
9,Chicago Fire,1607,31,9,10,12,37,48,43,5,WDLWL
10,Orlando City SC,1598,31,9,9,13,36,40,44,-4,DDLLD
11,Columbus Crew,1613,31,9,7,15,34,36,45,-9,WDWLD
12,FC Cincinnati,2242,31,6,3,22,21,30,74,-44,LWLLL
1,Los Angeles FC,1616,30,19,7,4,64,77,33,44,DDLDW
2,Seattle Sounders,1595,31,14,8,9,50,50,47,3,DWLWW
3,Minnesota Stars FC,1612,30,14,6,10,48,49,40,9,WLWLD
4,Real Salt Lake,1606,30,14,4,12,46,42,38,4,LWLWL
5,Los Angeles Galaxy,1605,30,14,3,13,45,49,49,0,WLLDD
6,San Jose Earthquakes,1596,30,13,5,12,44,49,46,3,LLWWL
7,FC Dallas,1597,31,12,8,11,44,47,42,5,DLWWD
8,Portland Timbers,1617,30,13,4,13,43,45,44,1,LLWWL
9,Sporting Kansas City,1611,30,10,7,13,37,44,54,-10,LLWWW
10,Colorado Rapids,1610,31,10,6,15,36,51,58,-7,LWWWL
11,Houston Dynamo,1600,30,10,4,16,34,41,51,-10,LWLLD
12,Vancouver Whitecaps,1603,31,7,9,15,30,32,54,-22,WLLLW
